,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hemisphere
295,Akdepe,42.06,42.06,62.6,31,1,16.11,TM,1601191154,Northern Hemisphere
296,Angoche,-16.23,-16.23,83.55,55,5,12.86,MZ,1601191154,Southern Hemisphere
297,Kearney,40.7,40.7,62.6,55,1,11.41,US,1601191155,Northern Hemisphere
298,Holme,56.11,56.11,60.8,93,97,9.17,DK,1601191155,Northern Hemisphere
299,Quzhou,28.96,28.96,76.5,65,33,8.57,CN,1601190946,Northern Hemisphere
300,Sauda,59.65,59.65,60.01,87,40,1.12,NO,1601191155,Northern Hemisphere
301,Poconé,-16.26,-16.26,80.17,58,0,5.48,BR,1601191156,Southern Hemisphere
302,Coronel Vivida,-25.98,-25.98,66.47,58,0,4.92,BR,1601191156,Southern Hemisphere
303,Port Lincoln,-34.73,-34.73,55.13,63,100,12.8,AU,1601191156,Southern Hemisphere
304,Sittwe,20.15,20.15,84.83,80,80,9.73,MM,1601191157,Northern Hemisphere
305,Labuhan,-6.88,-6.88,90.09,52,88,8.99,ID,1601191157,Southern Hemisphere
306,Krasnosel'kup,65.7,65.7,53.06,69,68,11.9,RU,1601191157,Northern Hemisphere
307,Marabu,4.41,4.41,87.8,66,40,10.29,MY,1601191157,Northern Hemisphere
308,Along,28.17,28.17,73.4,90,100,1.14,IN,1601191158,Northern Hemisphere
309,Caxias,38.7,38.7,64.0,93,75,11.41,PT,1601191158,Northern Hemisphere
310,Basco,20.45,20.45,82.99,83,69,14.47,PH,1601191158,Northern Hemisphere
311,Saint-Pierre,-21.34,-21.34,77.0,61,20,6.93,RE,1601191158,Southern Hemisphere
312,Normandin,48.83,48.83,64.4,77,90,9.17,CA,1601191159,Northern Hemisphere
313,Qaqortoq,60.72,60.72,33.8,47,0,8.05,GL,1601191159,Northern Hemisphere
314,Ol'ga,43.74,43.74,59.95,63,0,10.85,RU,1601191159,Northern Hemisphere
315,‘Ewa Beach,21.32,21.32,78.8,65,1,4.7,US,1601191022,Northern Hemisphere
316,Bandiagara,14.35,14.35,80.6,94,20,2.24,ML,1601191159,Northern Hemisphere
317,Ṭikāpur,28.5,28.5,89.04,57,3,5.37,NP,1601191160,Northern Hemisphere
318,Ust'-Kulom,61.69,61.69,57.16,74,14,5.3,RU,1601191160,Northern Hemisphere
319,Siguiri,11.67,11.67,71.33,90,0,1.61,GN,1601191160,Northern Hemisphere
320,Quatre Cocos,-20.21,-20.21,77.0,88,75,17.22,MU,1601191160,Southern Hemisphere
321,Luleå,65.58,65.58,42.8,75,90,8.05,SE,1601191161,Northern Hemisphere
322,Wau,7.7,7.7,78.1,82,100,3.69,SS,1601191161,Northern Hemisphere
323,Gouré,13.98,13.98,82.0,70,73,7.0,NE,1601191161,Northern Hemisphere
324,Wangqing,43.32,43.32,68.5,52,0,0.09,CN,1601191161,Northern Hemisphere
325,Igarka,67.47,67.47,48.36,67,100,12.24,RU,1601191162,Northern Hemisphere
326,Constitución,-35.33,-35.33,47.59,80,0,7.14,CL,1601191162,Southern Hemisphere
327,Pangody,65.85,65.85,54.72,76,57,13.98,RU,1601191162,Northern Hemisphere
328,Ligayan,4.65,4.65,85.53,68,98,7.99,PH,1601191163,Northern Hemisphere
329,Kirovskiy,45.09,45.09,62.82,57,0,6.31,RU,1601191163,Northern Hemisphere
330,Port Blair,11.67,11.67,85.82,70,100,15.7,IN,1601191163,Northern Hemisphere
331,Bengkulu,-3.8,-3.8,82.87,69,100,7.63,ID,1601191163,Southern Hemisphere
332,Anadyr,64.75,64.75,30.2,74,0,4.47,RU,1601191164,Northern Hemisphere
333,Hermitage,41.23,41.23,64.99,77,1,10.29,US,1601191096,Northern Hemisphere
334,Long Xuyen,10.38,10.38,80.8,82,100,9.26,VN,1601191164,Northern Hemisphere
335,Diego de Almagro,-26.37,-26.37,42.66,79,1,0.43,CL,1601191164,Southern Hemisphere
336,Cabatuan,10.88,10.88,87.03,71,100,3.42,PH,1601191164,Northern Hemisphere
337,Sirte,31.21,31.21,77.9,70,100,12.93,LY,1601191165,Northern Hemisphere
338,Traiguén,-38.25,-38.25,44.89,94,100,3.02,CL,1601191165,Southern Hemisphere
339,Lompoc,34.64,34.64,59.0,93,1,3.36,US,1601190963,Northern Hemisphere
340,Lucea,18.45,18.45,77.0,88,75,2.24,JM,1601191165,Northern Hemisphere
341,Gumdag,39.21,39.21,73.4,19,0,26.26,TM,1601191166,Northern Hemisphere
342,Safi,32.3,32.3,65.14,84,8,15.86,MA,1601191166,Northern Hemisphere
343,Maizuru,35.45,35.45,78.01,88,75,8.05,JP,1601191166,Northern Hemisphere
344,Huilong,31.81,31.81,75.99,71,3,3.0,CN,1601190875,Northern Hemisphere
345,Xining,36.62,36.62,69.75,38,0,6.35,CN,1601191019,Northern Hemisphere
346,Wasilla,61.58,61.58,48.2,70,1,5.82,US,1601191167,Northern Hemisphere
347,Coquimbo,-29.95,-29.95,48.2,87,0,2.98,CL,1601191167,Southern Hemisphere
348,Umm Bāb,25.21,25.21,93.99,36,0,5.86,QA,1601191167,Northern Hemisphere
349,Aitape,-3.14,-3.14,83.77,79,59,6.53,PG,1601191168,Southern Hemisphere
350,Amahai,-3.33,-3.33,81.66,73,83,5.95,ID,1601191168,Southern Hemisphere
351,Carbonear,47.73,47.73,55.0,66,90,18.34,CA,1601191168,Northern Hemisphere
352,Khasan,42.43,42.43,63.03,68,1,8.52,RU,1601191168,Northern Hemisphere
353,Monte Patria,-30.69,-30.69,50.25,57,0,1.05,CL,1601191169,Southern Hemisphere
354,Kloulklubed,7.04,7.04,87.8,70,75,6.93,PW,1601191169,Northern Hemisphere
355,Yinchuan,38.47,38.47,71.78,44,99,8.08,CN,1601191001,Northern Hemisphere
356,Morro Bay,35.37,35.37,68.0,86,0,3.0,US,1601191169,Northern Hemisphere
357,Kawalu,-7.38,-7.38,79.48,76,100,5.53,ID,1601191170,Southern Hemisphere
358,Barra Patuca,15.8,15.8,78.82,87,29,4.83,HN,1601191088,Northern Hemisphere
359,Verkhnevilyuysk,63.45,63.45,50.72,63,100,8.57,RU,1601191170,Northern Hemisphere
360,Paraíso,9.84,9.84,66.2,100,100,4.7,CR,1601190915,Northern Hemisphere
361,Jalu,29.03,29.03,81.63,51,2,5.7,LY,1601191171,Northern Hemisphere
362,Xiongzhou,25.12,25.12,68.43,86,100,3.58,CN,1601191171,Northern Hemisphere
363,Kralendijk,12.15,12.15,82.4,88,55,2.24,BQ,1601191171,Northern Hemisphere
364,Padang,-0.95,-0.95,80.04,68,99,4.09,ID,1601190944,Southern Hemisphere
365,Cookeville,36.16,36.16,62.6,93,75,3.6,US,1601191035,Northern Hemisphere
366,Beringovskiy,63.05,63.05,36.43,78,55,12.48,RU,1601191172,Northern Hemisphere
367,Kyra,49.58,49.58,50.43,47,5,13.89,RU,1601191172,Northern Hemisphere
368,Tiarei,-17.53,-17.53,80.6,74,40,3.36,PF,1601191172,Southern Hemisphere
369,Alice Springs,-23.7,-23.7,86.0,9,0,16.11,AU,1601190943,Southern Hemisphere
370,Cockburn Town,21.46,21.46,83.32,71,10,9.42,TC,1601191173,Northern Hemisphere
371,Wieluń,51.22,51.22,46.99,79,100,9.95,PL,1601191012,Northern Hemisphere
372,Aksu,41.12,41.12,69.3,22,100,10.31,CN,1601191173,Northern Hemisphere
373,Were Īlu,10.6,10.6,64.0,57,8,9.95,ET,1601191174,Northern Hemisphere
374,Rincon,32.3,32.3,69.8,94,1,3.36,US,1601190936,Northern Hemisphere
375,Oddur,4.12,4.12,87.03,40,15,13.67,SO,1601191174,Northern Hemisphere
376,Ha Tinh,18.33,18.33,88.47,71,94,7.7,VN,1601191174,Northern Hemisphere
377,Obuasi,6.21,6.21,70.59,99,100,1.79,GH,1601191174,Northern Hemisphere
378,Saint-Augustin,51.23,51.23,49.41,95,100,6.11,CA,1601191175,Northern Hemisphere
379,Pangnirtung,66.15,66.15,29.39,91,12,0.56,CA,1601191175,Northern Hemisphere
380,Zabaykal'sk,49.63,49.63,54.7,42,5,19.71,RU,1601191175,Northern Hemisphere
381,Cape Coast,5.11,5.11,75.76,87,98,9.8,GH,1601191175,Northern Hemisphere
382,Umluj,25.02,25.02,91.53,34,0,10.47,SA,1601191176,Northern Hemisphere
383,Saurimo,-9.66,-9.66,79.11,56,18,4.72,AO,1601191176,Southern Hemisphere
384,Marawi,8.0,8.0,82.99,79,100,4.0,PH,1601191176,Northern Hemisphere
385,Manokwari,-0.87,-0.87,84.04,67,9,4.61,ID,1601191176,Southern Hemisphere
386,Mnogovershinnyy,53.94,53.94,54.25,73,0,4.68,RU,1601191177,Northern Hemisphere
387,Sri Aman,1.24,1.24,82.4,83,40,9.17,MY,1601191177,Northern Hemisphere
388,Penzance,50.12,50.12,51.8,71,60,11.41,GB,1601191177,Northern Hemisphere
389,Laas,46.62,46.62,37.0,54,20,3.94,IT,1601191178,Northern Hemisphere
390,Port Hedland,-20.32,-20.32,89.6,24,0,19.46,AU,1601191178,Southern Hemisphere
391,Salalah,17.02,17.02,82.4,69,20,8.05,OM,1601191178,Northern Hemisphere
392,Aberdeen,57.14,57.14,44.6,75,75,11.41,GB,1601191057,Northern Hemisphere
393,Sioux Lookout,50.1,50.1,53.6,100,90,4.7,CA,1601191179,Northern Hemisphere
394,Iquique,-20.22,-20.22,60.8,77,90,6.93,CL,1601191078,Southern Hemisphere
395,Waipawa,-41.41,-41.41,57.2,62,0,18.34,NZ,1601191179,Southern Hemisphere
396,Whitehaven,54.55,54.55,42.01,77,0,8.55,GB,1601191179,Northern Hemisphere
397,Slonim,53.09,53.09,62.96,50,96,18.21,BY,1601191180,Northern Hemisphere
398,Khandyga,62.67,62.67,57.31,50,89,8.3,RU,1601191180,Northern Hemisphere
399,Saint-François,46.42,46.42,46.99,93,100,11.41,FR,1601191180,Northern Hemisphere
400,Province of Groningen,53.25,53.25,55.99,87,90,9.17,NL,1601191181,Northern Hemisphere
401,Kitimat,54.05,54.05,48.2,87,75,8.05,CA,1601191181,Northern Hemisphere
402,Bereda,43.27,43.27,57.0,100,79,7.0,ES,1601191181,Northern Hemisphere
403,Pitimbu,-7.47,-7.47,69.8,100,17,6.93,BR,1601191181,Southern Hemisphere
404,Faya,18.39,18.39,77.0,19,0,9.17,SA,1601191182,Northern Hemisphere
405,Arrecife,28.96,28.96,73.4,69,75,16.11,ES,1601191182,Northern Hemisphere
406,Villarrica,-25.75,-25.75,79.66,34,0,6.08,PY,1601191182,Southern Hemisphere
407,Bonavista,48.65,48.65,53.76,73,100,14.67,CA,1601191182,Northern Hemisphere
408,Moranbah,-22.0,-22.0,83.64,20,0,7.67,AU,1601191013,Southern Hemisphere
409,Krasnoborsk,61.56,61.56,58.24,66,51,4.7,RU,1601191183,Northern Hemisphere
410,Qujing,25.48,25.48,70.36,76,65,9.01,CN,1601191183,Northern Hemisphere
411,Mae Hong Son,19.3,19.3,93.58,45,62,2.53,TH,1601191184,Northern Hemisphere
412,Nagercoil,8.17,8.17,84.2,83,40,6.93,IN,1601191184,Northern Hemisphere
413,Marapanim,-0.72,-0.72,73.44,92,96,3.6,BR,1601191184,Southern Hemisphere
414,Sarab,38.61,38.61,76.69,32,0,4.63,IR,1601191184,Northern Hemisphere
415,Nelson Bay,-32.72,-32.72,60.8,51,21,17.22,AU,1601191185,Southern Hemisphere
416,Oranjemund,-28.55,-28.55,56.14,59,0,9.4,NA,1601191185,Southern Hemisphere
417,Buala,-8.14,-8.14,83.5,76,19,6.82,SB,1601191185,Southern Hemisphere
418,Reutlingen,48.49,48.49,46.99,75,20,6.93,DE,1601191186,Northern Hemisphere
419,Porto Belo,-27.16,-27.16,68.0,93,100,3.27,BR,1601191186,Southern Hemisphere
420,La Ronge,55.1,55.1,46.4,87,40,6.93,CA,1601191186,Northern Hemisphere
421,Isaka,-3.9,-3.9,79.23,49,66,1.77,TZ,1601191187,Southern Hemisphere
422,Tynda,55.17,55.17,50.77,61,45,13.22,RU,1601191187,Northern Hemisphere
423,Nouakchott,18.09,18.09,82.4,88,52,8.05,MR,1601190929,Northern Hemisphere
424,Nyurba,63.28,63.28,51.1,61,100,8.32,RU,1601191187,Northern Hemisphere
425,City of San Pedro,14.35,14.35,93.2,59,40,6.93,PH,1601191187,Northern Hemisphere
426,Benguela,-12.58,-12.58,72.25,74,0,3.2,AO,1601191188,Southern Hemisphere
427,Port-Cartier,50.03,50.03,45.0,100,90,3.36,CA,1601191188,Northern Hemisphere
428,Aranos,-24.13,-24.13,58.82,31,0,4.97,NA,1601191188,Southern Hemisphere
429,Carahue,-38.7,-38.7,48.2,100,90,2.24,CL,1601191189,Southern Hemisphere
430,Genhe,50.78,50.78,54.03,46,0,13.42,CN,1601191189,Northern Hemisphere
431,Chilca,-12.52,-12.52,60.01,87,40,4.7,PE,1601191189,Southern Hemisphere
432,Storsteinnes,69.24,69.24,35.01,86,8,10.29,NO,1601191189,Northern Hemisphere
433,Turukhansk,65.82,65.82,47.37,83,100,9.66,RU,1601191190,Northern Hemisphere
434,Merauke,-8.47,-8.47,84.16,68,100,20.31,ID,1601191190,Southern Hemisphere
435,Rabo de Peixe,37.8,37.8,68.0,94,75,14.99,PT,1601191190,Northern Hemisphere
436,Nevers,46.99,46.99,48.2,93,100,13.87,FR,1601191190,Northern Hemisphere
437,Aykhal,66.0,66.0,39.2,64,90,6.71,RU,1601191191,Northern Hemisphere
438,Shimoda,34.67,34.67,73.4,73,20,10.29,JP,1601191191,Northern Hemisphere
439,Irauçuba,-3.75,-3.75,73.89,80,56,6.04,BR,1601191191,Southern Hemisphere
440,Sisimiut,66.94,66.94,33.15,91,98,9.89,GL,1601191093,Northern Hemisphere
441,Beipiao,41.79,41.79,80.2,26,0,13.91,CN,1601191192,Northern Hemisphere
442,Pierre,44.37,44.37,57.99,44,1,19.46,US,1601191192,Northern Hemisphere
443,Naushki,50.38,50.38,53.71,42,88,5.37,RU,1601191192,Northern Hemisphere
444,Beni Suef,29.07,29.07,87.55,27,0,12.28,EG,1601191193,Northern Hemisphere
445,Beloha,-25.17,-25.17,88.72,29,0,1.63,MG,1601191193,Southern Hemisphere
446,Paracatu,-17.22,-17.22,63.54,49,0,3.04,BR,1601191193,Southern Hemisphere
447,Mogzon,51.74,51.74,44.15,63,92,16.78,RU,1601191193,Northern Hemisphere
448,Devonport,-41.17,-41.17,55.0,48,0,14.0,AU,1601191194,Southern Hemisphere
449,Khāsh,28.22,28.22,83.5,13,0,1.3,IR,1601191194,Northern Hemisphere
450,Seoul,37.57,37.57,78.8,41,75,3.13,KR,1601191194,Northern Hemisphere
451,Ust-Nera,64.57,64.57,46.33,53,70,6.26,RU,1601191195,Northern Hemisphere
452,Poso,-1.4,-1.4,81.63,76,100,0.6,ID,1601191195,Southern Hemisphere
453,Melfi,41.0,41.0,64.4,55,20,6.93,IT,1601191195,Northern Hemisphere
454,Ternate,0.8,0.8,83.53,74,60,7.05,ID,1601191195,Northern Hemisphere
455,Dunedin,-45.87,-45.87,43.0,65,0,3.0,NZ,1601191196,Southern Hemisphere
456,Hay River,60.82,60.82,46.4,93,90,5.82,CA,1601191196,Northern Hemisphere
457,Mendi,-6.18,-6.18,59.79,100,100,1.16,PG,1601191196,Southern Hemisphere
458,Port Montt,-41.47,-41.47,44.6,100,75,2.24,CL,1601190911,Southern Hemisphere
459,Krosno Odrzańskie,52.05,52.05,48.0,43,100,3.36,PL,1601191197,Northern Hemisphere
460,Breyten,-26.3,-26.3,59.0,62,0,10.29,ZA,1601191197,Southern Hemisphere
461,Mufulira,-12.55,-12.55,82.13,20,0,6.17,ZM,1601191197,Southern Hemisphere
462,Grand Gaube,-20.01,-20.01,77.0,62,8,10.0,MU,1601191198,Southern Hemisphere
463,Svetlaya,46.54,46.54,56.77,75,96,12.21,RU,1601191198,Northern Hemisphere
464,Dicabisagan,17.08,17.08,86.43,70,100,2.93,PH,1601191198,Northern Hemisphere
465,Maragogi,-9.01,-9.01,73.94,88,100,7.09,BR,1601191152,Southern Hemisphere
466,Nizhneangarsk,55.78,55.78,48.11,58,23,9.8,RU,1601191199,Northern Hemisphere
467,Sault Ste. Marie,46.52,46.52,64.4,93,90,4.7,CA,1601191199,Northern Hemisphere
468,Lebu,-37.62,-37.62,46.98,86,10,10.33,CL,1601191199,Southern Hemisphere
469,Cárdenas,23.04,23.04,73.4,100,20,4.7,CU,1601191200,Northern Hemisphere
470,Lábrea,-7.26,-7.26,71.96,89,100,2.06,BR,1601191181,Southern Hemisphere
471,Samandağ,36.08,36.08,84.2,62,0,9.17,TR,1601191200,Northern Hemisphere
472,Del Rio,29.36,29.36,80.6,54,1,8.05,US,1601191200,Northern Hemisphere
473,Avera,33.19,33.19,64.99,83,90,2.93,US,1601191201,Northern Hemisphere
474,Griffith,41.53,41.53,66.99,77,1,16.11,US,1601191201,Northern Hemisphere
475,Yichun,47.7,47.7,66.85,59,100,7.4,CN,1601191201,Northern Hemisphere
476,Villablino,42.94,42.94,48.2,87,20,3.36,ES,1601191201,Northern Hemisphere
477,Formiga,-20.46,-20.46,63.73,55,0,5.26,BR,1601191202,Southern Hemisphere
478,Yatou,37.15,37.15,72.45,54,1,6.73,CN,1601191202,Northern Hemisphere
479,Ortaköy,38.74,38.74,77.0,36,0,5.82,TR,1601191202,Northern Hemisphere
480,Kabalo,-6.05,-6.05,83.1,63,32,3.71,CD,1601191203,Southern Hemisphere
481,Chacabuco,-34.64,-34.64,55.99,94,100,11.01,AR,1601191177,Southern Hemisphere
482,Marystown,47.17,47.17,57.0,100,84,3.0,CA,1601191203,Northern Hemisphere
483,Shaoguan,24.8,24.8,71.56,83,100,3.4,CN,1601191203,Northern Hemisphere
484,Matara,5.95,5.95,86.45,66,63,11.32,LK,1601191204,Northern Hemisphere
485,Puerto Madero,14.72,14.72,79.12,82,12,7.67,MX,1601191204,Northern Hemisphere
486,Kungurtug,50.6,50.6,48.9,44,27,2.53,RU,1601191204,Northern Hemisphere
487,Yendi,9.44,9.44,74.35,92,60,3.6,GH,1601191205,Northern Hemisphere
488,Isangel,-19.55,-19.55,80.6,78,75,6.85,VU,1601191205,Southern Hemisphere
489,Müllheim,47.81,47.81,48.0,78,100,5.01,DE,1601191205,Northern Hemisphere
490,Keelung,25.13,25.13,73.4,100,75,6.93,TW,1601191205,Northern Hemisphere
491,Shuangyang,43.52,43.52,77.0,33,0,11.18,CN,1601191206,Northern Hemisphere
492,Tahoua,14.89,14.89,80.6,78,0,9.17,NE,1601191206,Northern Hemisphere
493,Beidao,34.57,34.57,66.16,61,93,12.28,CN,1601191206,Northern Hemisphere
494,Santa Maria,-29.68,-29.68,68.34,74,64,5.73,BR,1601191207,Southern Hemisphere
495,Guarapari,-20.67,-20.67,71.6,83,0,5.82,BR,1601191207,Southern Hemisphere
496,Liverpool,53.41,53.41,44.6,75,0,5.82,GB,1601191207,Northern Hemisphere
497,Vila do Maio,15.13,15.13,78.8,83,20,3.36,CV,1601191207,Northern Hemisphere
498,Moyale,3.52,3.52,68.94,74,100,8.99,KE,1601191208,Northern Hemisphere
499,Zhaotong,27.32,27.32,60.3,86,98,5.44,CN,1601191208,Northern Hemisphere
500,Nybro,56.74,56.74,62.6,82,75,11.41,SE,1601190994,Northern Hemisphere
501,Kaitangata,-46.28,-46.28,42.01,51,14,15.01,NZ,1601191209,Southern Hemisphere
502,Amos,48.57,48.57,60.8,100,90,10.29,CA,1601191209,Northern Hemisphere
503,Sirmaur,24.85,24.85,91.29,45,81,7.07,IN,1601191209,Northern Hemisphere
504,Parfen'yevo,58.48,58.48,57.13,67,0,4.74,RU,1601191209,Northern Hemisphere
505,Itoman,26.12,26.12,78.8,74,75,5.82,JP,1601191210,Northern Hemisphere
506,Esmeralda,21.85,21.85,77.0,94,2,6.93,CU,1601191210,Northern Hemisphere
507,Apt,43.88,43.88,53.6,54,1,20.8,FR,1601191210,Northern Hemisphere
508,Veranópolis,-28.94,-28.94,66.0,67,0,3.15,BR,1601191210,Southern Hemisphere
509,São Pedro,-22.55,-22.55,71.58,34,0,3.53,BR,1601191211,Southern Hemisphere
510,Qingdao,36.1,36.1,78.8,50,75,8.95,CN,1601191091,Northern Hemisphere
511,Olafsvik,64.89,64.89,46.02,89,100,7.74,IS,1601191211,Northern Hemisphere
512,Novyy Buh,47.69,47.69,66.2,77,75,17.9,UA,1601191211,Northern Hemisphere
513,Taoudenni,22.68,22.68,90.19,12,0,3.44,ML,1601191211,Northern Hemisphere
514,Rørvik,64.86,64.86,51.24,60,36,11.52,NO,1601191212,Northern Hemisphere
515,Forsytheganj,52.63,52.63,63.84,45,81,17.52,BY,1601191212,Northern Hemisphere
516,Makkah al Mukarramah,21.43,21.43,101.03,16,0,2.35,SA,1601191212,Northern Hemisphere
517,Wanning,18.8,18.8,86.67,70,100,4.5,CN,1601191212,Northern Hemisphere
518,Sembakung,3.82,3.82,88.72,65,99,3.8,ID,1601191213,Northern Hemisphere
519,Waingapu,-9.66,-9.66,88.3,52,99,12.73,ID,1601191213,Southern Hemisphere
520,Troitskoye,52.98,52.98,49.19,69,100,5.95,RU,1601191213,Northern Hemisphere
521,Esfarāyen,37.08,37.08,68.0,20,0,2.24,IR,1601191213,Northern Hemisphere
522,Kuah,6.33,6.33,86.0,79,40,6.93,MY,1601191214,Northern Hemisphere
523,Gamba,-2.65,-2.65,76.62,76,47,7.47,GA,1601191214,Southern Hemisphere
524,Zhob,31.34,31.34,81.39,12,0,4.63,PK,1601191078,Northern Hemisphere
525,Camabatela,-8.19,-8.19,63.25,89,100,4.68,AO,1601191214,Southern Hemisphere
526,Raudeberg,61.99,61.99,48.2,87,0,9.17,NO,1601191215,Northern Hemisphere
527,Maridi,4.92,4.92,78.71,74,27,2.42,SS,1601191215,Northern Hemisphere
528,Kasongo-Lunda,-6.47,-6.47,78.21,69,84,2.57,CD,1601191215,Southern Hemisphere
529,Arandis,-22.42,-22.42,54.0,81,0,3.0,NA,1601191215,Southern Hemisphere
530,Lloydminster,53.28,53.28,48.2,66,90,11.41,CA,1601191216,Northern Hemisphere
531,Bandarbeyla,9.49,9.49,84.13,58,33,23.0,SO,1601191216,Northern Hemisphere
532,Ivangorod,59.37,59.37,60.89,68,0,8.68,RU,1601191216,Northern Hemisphere
533,Sfântu Gheorghe,45.87,45.87,57.0,74,84,10.8,RO,1601191216,Northern Hemisphere
534,Kumul,42.8,42.8,70.72,21,87,7.18,CN,1601191217,Northern Hemisphere
535,Hermosillo,29.07,29.07,82.4,61,5,5.82,MX,1601191197,Northern Hemisphere
536,Linxia Chengguanzhen,35.6,35.6,71.6,43,48,6.06,CN,1601191217,Northern Hemisphere
537,Kenai,60.55,60.55,48.2,87,75,6.93,US,1601191217,Northern Hemisphere
538,Sargatskoye,55.61,55.61,54.84,54,31,6.62,RU,1601191218,Northern Hemisphere
539,Harper,4.38,4.38,76.32,89,52,7.47,LR,1601191218,Northern Hemisphere
540,Dhār,22.6,22.6,82.4,65,40,3.36,IN,1601191218,Northern Hemisphere
541,Sørland,67.67,67.67,45.23,74,0,17.76,NO,1601191218,Northern Hemisphere
542,Dingle,11.0,11.0,86.07,76,100,5.93,PH,1601191219,Northern Hemisphere
543,Kirakira,-10.45,-10.45,80.56,82,78,13.82,SB,1601191219,Southern Hemisphere
544,Matamoros,25.53,25.53,77.0,27,0,2.55,MX,1601191219,Northern Hemisphere
545,Vila Franca do Campo,37.72,37.72,68.0,94,75,14.99,PT,1601191219,Northern Hemisphere
546,Marche-en-Famenne,50.2,50.2,57.99,97,100,1.99,BE,1601191220,Northern Hemisphere
547,Syracuse,37.09,37.09,64.4,63,100,8.05,IT,1601191220,Northern Hemisphere
548,Mongar,27.27,27.27,69.67,79,67,5.7,BT,1601191220,Northern Hemisphere
549,Malatya Province,38.5,38.5,75.2,44,0,3.36,TR,1601191220,Northern Hemisphere
550,Henties Bay,-22.12,-22.12,54.0,81,0,3.0,NA,1601191221,Southern Hemisphere
551,Araouane,18.9,18.9,89.47,12,0,1.39,ML,1601191221,Northern Hemisphere
552,Zhalantun,48.0,48.0,69.08,58,100,7.31,CN,1601191221,Northern Hemisphere
553,Accrington,53.75,53.75,43.0,94,0,3.56,GB,1601191221,Northern Hemisphere
554,High Level,58.52,58.52,48.2,100,90,8.05,CA,1601191222,Northern Hemisphere
555,Muros,42.78,42.78,57.0,94,69,1.01,ES,1601191222,Northern Hemisphere
556,Constantine,36.37,36.37,60.8,44,20,16.11,DZ,1601191222,Northern Hemisphere
557,Dera Bugti,29.03,29.03,92.71,23,0,10.67,PK,1601191223,Northern Hemisphere
558,Okhotsk,59.38,59.38,51.26,85,100,8.3,RU,1601191223,Northern Hemisphere
559,Dafeng,23.45,23.45,69.91,82,100,5.19,CN,1601191223,Northern Hemisphere
560,Kayalpattinam,8.57,8.57,95.0,47,40,9.17,IN,1601191223,Northern Hemisphere
561,Karratha,-20.74,-20.74,85.37,28,0,19.8,AU,1601191224,Southern Hemisphere
562,Bagdarin,54.43,54.43,48.47,51,95,15.93,RU,1601191224,Northern Hemisphere
563,Salta,-24.79,-24.79,66.2,55,96,9.17,AR,1601191224,Southern Hemisphere
564,Mora,11.05,11.05,80.85,64,100,4.27,CM,1601191225,Northern Hemisphere
565,Wilmington,34.23,34.23,69.8,88,75,4.7,US,1601190966,Northern Hemisphere
566,Taltal,-25.4,-25.4,52.36,77,2,1.59,CL,1601191225,Southern Hemisphere
567,Verkhotur'ye,58.86,58.86,60.12,66,49,4.27,RU,1601191225,Northern Hemisphere
568,Sabang,5.89,5.89,82.35,77,85,15.43,ID,1601191225,Northern Hemisphere
569,Natal,-5.79,-5.79,69.8,94,4,4.7,BR,1601191226,Southern Hemisphere
570,Timrå,62.49,62.49,51.01,93,100,6.93,SE,1601191226,Northern Hemisphere
571,Tamandaré,-8.76,-8.76,73.89,86,100,6.29,BR,1601191226,Southern Hemisphere
572,Mandalgovi,45.76,45.76,57.29,30,100,8.88,MN,1601191227,Northern Hemisphere
573,Berezovyy,51.67,51.67,62.35,57,0,5.3,RU,1601191227,Northern Hemisphere
574,Marsá Maţrūḩ,31.35,31.35,77.0,69,0,6.93,EG,1601191227,Northern Hemisphere
575,Buta,2.79,2.79,77.5,84,16,1.68,CD,1601191227,Northern Hemisphere
576,Aswān,24.09,24.09,92.21,17,0,11.16,EG,1601191002,Northern Hemisphere
577,Toro,4.61,4.61,64.96,88,46,0.07,CO,1601191228,Northern Hemisphere
578,Nelson,-41.28,-41.28,55.0,69,30,1.99,NZ,1601191228,Southern Hemisphere
579,Pishin,30.58,30.58,78.15,13,0,6.96,PK,1601191228,Northern Hemisphere
580,Copiapó,-27.37,-27.37,53.6,76,78,3.36,CL,1601191229,Southern Hemisphere
581,Walvis Bay,-22.96,-22.96,54.0,93,0,4.7,NA,1601191023,Southern Hemisphere
582,Adrar,20.5,20.5,87.33,20,0,11.74,MR,1601191229,Northern Hemisphere
583,Longonjo,-12.91,-12.91,75.83,38,0,1.48,AO,1601191229,Southern Hemisphere
584,Palāsa,18.77,18.77,89.42,59,2,4.5,IN,1601191230,Northern Hemisphere
585,Basoko,1.24,1.24,77.68,76,100,5.32,CD,1601191230,Northern Hemisphere
586,Zhoucheng,35.91,35.91,81.07,38,2,7.54,CN,1601191230,Northern Hemisphere
587,Mweka,-4.85,-4.85,77.41,74,0,3.62,CD,1601191230,Southern Hemisphere
588,Sorong,-0.88,-0.88,82.18,75,98,2.51,ID,1601191231,Southern Hemisphere
589,Balkhash,46.84,46.84,55.4,43,20,22.37,KZ,1601191231,Northern Hemisphere
590,Inírida,3.87,3.87,72.86,98,100,1.12,CO,1601191231,Northern Hemisphere
591,Cañon City,38.44,38.44,62.01,36,100,3.49,US,1601191231,Northern Hemisphere
